H:\AI Course\GNN_VRP\core\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 256 | Loss: 65.653 | Policy: 6.648 | Value: 118.011 | Entropy: 0.047
Episode 257 | Loss: 25.800 | Policy: 1.793 | Value: 48.014 | Entropy: 0.051
Episode 258 | Loss: 28.501 | Policy: 0.428 | Value: 56.147 | Entropy: 0.052
Episode 259 | Loss: 21.330 | Policy: 0.796 | Value: 41.070 | Entropy: 0.052
Episode 260 | Loss: 31.756 | Policy: 0.169 | Value: 63.176 | Entropy: 0.053
Episode 261 | Loss: 20.857 | Policy: 0.727 | Value: 40.262 | Entropy: 0.052
Episode 262 | Loss: 21.595 | Policy: 0.987 | Value: 41.216 | Entropy: 0.046
Episode 263 | Loss: 56.596 | Policy: 5.724 | Value: 101.746 | Entropy: 0.037
Episode 264 | Loss: 81.243 | Policy: 8.233 | Value: 146.019 | Entropy: 0.045
Episode 265 | Loss: 27.483 | Policy: 0.611 | Value: 53.744 | Entropy: 0.049
Episode 266 | Loss: 33.965 | Policy: 0.970 | Value: 65.991 | Entropy: 0.047
Episode 267 | Loss: 41.699 | Policy: 1.137 | Value: 81.125 | Entropy: 0.046
Episode 268 | Loss: 21.049 | Policy: 0.550 | Value: 40.999 | Entropy: 0.045
Episode 269 | Loss: 28.957 | Policy: 3.484 | Value: 50.947 | Entropy: 0.045
Episode 270 | Loss: 48.835 | Policy: 5.741 | Value: 86.190 | Entropy: 0.044
Episode 271 | Loss: 26.138 | Policy: 2.070 | Value: 48.138 | Entropy: 0.045
Episode 272 | Loss: 21.393 | Policy: 0.798 | Value: 41.191 | Entropy: 0.046
Episode 273 | Loss: 23.152 | Policy: 1.504 | Value: 43.297 | Entropy: 0.047
Episode 274 | Loss: 30.292 | Policy: 0.411 | Value: 59.763 | Entropy: 0.048
Episode 275 | Loss: 25.274 | Policy: 0.759 | Value: 49.031 | Entropy: 0.049
Episode 276 | Loss: 26.012 | Policy: 1.793 | Value: 48.438 | Entropy: 0.047
Episode 277 | Loss: 33.232 | Policy: 3.140 | Value: 60.184 | Entropy: 0.040
Episode 278 | Loss: 29.798 | Policy: 3.059 | Value: 53.478 | Entropy: 0.040
Episode 279 | Loss: 21.395 | Policy: 2.179 | Value: 38.434 | Entropy: 0.046
Episode 280 | Loss: 25.202 | Policy: 0.636 | Value: 49.133 | Entropy: 0.049
Episode 281 | Loss: 24.135 | Policy: 1.879 | Value: 44.513 | Entropy: 0.048
