Episode 218 | Loss: 0.471 | Policy: 0.383 | Value: 0.223 | Reward: 4909.38
Episode 219 | Loss: 0.413 | Policy: 0.346 | Value: 0.180 | Reward: 4909.10
Episode 220 | Loss: 0.165 | Policy: 0.168 | Value: 0.041 | Reward: 4909.25
Episode 221 | Loss: -0.056 | Policy: -0.047 | Value: 0.031 | Reward: 4909.20
Episode 222 | Loss: -0.063 | Policy: -0.094 | Value: 0.110 | Reward: 4909.28
Episode 223 | Loss: -0.059 | Policy: -0.079 | Value: 0.087 | Reward: 4909.05
Episode 224 | Loss: -0.035 | Policy: -0.015 | Value: 0.009 | Reward: 4904.04
Episode 225 | Loss: 0.257 | Policy: 0.239 | Value: 0.085 | Reward: 4909.15
Episode 226 | Loss: 0.439 | Policy: 0.366 | Value: 0.196 | Reward: 4909.28
Episode 227 | Loss: 0.389 | Policy: 0.332 | Value: 0.166 | Reward: 4909.18
Episode 228 | Loss: 0.157 | Policy: 0.162 | Value: 0.040 | Reward: 4909.13
Episode 229 | Loss: -0.076 | Policy: -0.065 | Value: 0.027 | Reward: 4908.83
Episode 230 | Loss: -0.117 | Policy: -0.141 | Value: 0.097 | Reward: 4908.90
Episode 231 | Loss: -0.078 | Policy: -0.090 | Value: 0.072 | Reward: 4909.13
Episode 232 | Loss: -0.057 | Policy: -0.034 | Value: 0.004 | Reward: 4908.85
Episode 233 | Loss: 0.253 | Policy: 0.236 | Value: 0.085 | Reward: 4909.00
Episode 234 | Loss: 0.411 | Policy: 0.346 | Value: 0.181 | Reward: 4909.15
Episode 235 | Loss: 0.343 | Policy: 0.302 | Value: 0.137 | Reward: 4909.25
Episode 236 | Loss: 0.103 | Policy: 0.119 | Value: 0.022 | Reward: 4909.08
Episode 237 | Loss: -0.104 | Policy: -0.102 | Value: 0.052 | Reward: 4909.00
Episode 238 | Loss: -0.102 | Policy: -0.150 | Value: 0.152 | Reward: 4909.18
Episode 239 | Loss: -0.097 | Policy: -0.134 | Value: 0.130 | Reward: 4909.05
Episode 240 | Loss: -0.072 | Policy: -0.057 | Value: 0.027 | Reward: 4909.10
Episode 241 | Loss: 0.150 | Policy: 0.159 | Value: 0.037 | Reward: 4908.90
Episode 242 | Loss: 0.306 | Policy: 0.276 | Value: 0.115 | Reward: 4909.05
Episode 243 | Loss: 0.261 | Policy: 0.244 | Value: 0.089 | Reward: 4909.30
Episode 244 | Loss: 0.054 | Policy: 0.077 | Value: 0.009 | Reward: 4909.40
Episode 245 | Loss: -0.092 | Policy: -0.099 | Value: 0.068 | Reward: 4909.20
Episode 246 | Loss: -0.109 | Policy: -0.163 | Value: 0.164 | Reward: 4909.38
Episode 247 | Loss: -0.140 | Policy: -0.181 | Value: 0.137 | Reward: 4909.03
Episode 248 | Loss: -0.090 | Policy: -0.077 | Value: 0.029 | Reward: 4909.08
Episode 249 | Loss: 0.137 | Policy: 0.148 | Value: 0.033 | Reward: 4909.13
Episode 250 | Loss: 0.294 | Policy: 0.267 | Value: 0.108 | Reward: 4909.10
Episode 251 | Loss: 0.255 | Policy: 0.239 | Value: 0.087 | Reward: 4909.10
Episode 252 | Loss: 0.055 | Policy: 0.077 | Value: 0.009 | Reward: 4909.13
Episode 253 | Loss: -0.089 | Policy: -0.092 | Value: 0.060 | Reward: 4909.03
Episode 254 | Loss: -0.102 | Policy: -0.150 | Value: 0.150 | Reward: 4909.23
Episode 255 | Loss: -0.136 | Policy: -0.171 | Value: 0.124 | Reward: 4909.38
Episode 256 | Loss: -0.074 | Policy: -0.060 | Value: 0.025 | Reward: 4909.25
Episode 257 | Loss: 0.145 | Policy: 0.154 | Value: 0.035 | Reward: 4909.18
Episode 258 | Loss: 0.299 | Policy: 0.271 | Value: 0.109 | Reward: 4909.18
