Episode 241 | Loss: 0.359 | Policy: 0.306 | Value: 0.148 | Reward: 156.25
Episode 242 | Loss: 0.604 | Policy: 0.466 | Value: 0.318 | Reward: 156.13
Episode 243 | Loss: 0.537 | Policy: 0.420 | Value: 0.278 | Reward: 154.88
Episode 244 | Loss: 0.233 | Policy: 0.217 | Value: 0.076 | Reward: 156.63
Episode 245 | Loss: -0.028 | Policy: -0.026 | Value: 0.040 | Reward: 156.50
Episode 246 | Loss: -0.055 | Policy: -0.102 | Value: 0.140 | Reward: 156.88
Episode 247 | Loss: -0.052 | Policy: -0.082 | Value: 0.106 | Reward: 155.26
Episode 248 | Loss: -0.013 | Policy: 0.005 | Value: 0.011 | Reward: 156.63
Episode 249 | Loss: 0.336 | Policy: 0.292 | Value: 0.133 | Reward: 155.63
Episode 250 | Loss: 0.550 | Policy: 0.429 | Value: 0.290 | Reward: 155.88
Episode 251 | Loss: 0.477 | Policy: 0.383 | Value: 0.235 | Reward: 155.26
Episode 252 | Loss: 0.178 | Policy: 0.173 | Value: 0.057 | Reward: 155.51
Episode 253 | Loss: -0.107 | Policy: -0.113 | Value: 0.059 | Reward: 156.63
Episode 254 | Loss: -0.123 | Policy: -0.187 | Value: 0.175 | Reward: 157.25
Episode 255 | Loss: -0.101 | Policy: -0.153 | Value: 0.152 | Reward: 155.38
Episode 256 | Loss: -0.085 | Policy: -0.076 | Value: 0.031 | Reward: 156.01
Episode 257 | Loss: 0.213 | Policy: 0.204 | Value: 0.069 | Reward: 155.13
Episode 258 | Loss: 0.393 | Policy: 0.332 | Value: 0.173 | Reward: 155.26
Episode 259 | Loss: 0.314 | Policy: 0.277 | Value: 0.123 | Reward: 157.13
Episode 260 | Loss: 0.054 | Policy: 0.073 | Value: 0.013 | Reward: 155.51
Episode 261 | Loss: -0.080 | Policy: -0.116 | Value: 0.121 | Reward: 155.26
Episode 262 | Loss: -0.089 | Policy: -0.204 | Value: 0.280 | Reward: 156.00
Episode 263 | Loss: -0.094 | Policy: -0.194 | Value: 0.246 | Reward: 155.01
Episode 264 | Loss: -0.064 | Policy: -0.079 | Value: 0.078 | Reward: 155.51
Episode 265 | Loss: 0.096 | Policy: 0.108 | Value: 0.023 | Reward: 155.88
Episode 266 | Loss: 0.259 | Policy: 0.238 | Value: 0.087 | Reward: 156.50
Episode 267 | Loss: 0.190 | Policy: 0.186 | Value: 0.055 | Reward: 156.63
Episode 268 | Loss: -0.017 | Policy: 0.004 | Value: 0.005 | Reward: 155.38
Episode 269 | Loss: -0.057 | Policy: -0.038 | Value: 0.012 | Reward: 156.50
Episode 270 | Loss: -0.004 | Policy: 0.020 | Value: 0.005 | Reward: 155.75
Episode 271 | Loss: -0.046 | Policy: -0.022 | Value: 0.005 | Reward: 156.25
Episode 272 | Loss: 0.055 | Policy: 0.076 | Value: 0.011 | Reward: 155.01
Episode 273 | Loss: -0.003 | Policy: 0.022 | Value: 0.005 | Reward: 156.50
Episode 274 | Loss: -0.091 | Policy: -0.095 | Value: 0.063 | Reward: 155.51
Episode 275 | Loss: -0.071 | Policy: -0.083 | Value: 0.076 | Reward: 155.13
Episode 276 | Loss: -0.040 | Policy: -0.023 | Value: 0.019 | Reward: 156.88
Episode 277 | Loss: 0.220 | Policy: 0.212 | Value: 0.071 | Reward: 156.38
Episode 278 | Loss: 0.361 | Policy: 0.310 | Value: 0.153 | Reward: 155.88
Episode 279 | Loss: 0.264 | Policy: 0.245 | Value: 0.090 | Reward: 99.69
Episode 280 | Loss: 0.003 | Policy: 0.027 | Value: 0.004 | Reward: 155.88
Episode 281 | Loss: -0.147 | Policy: -0.193 | Value: 0.143 | Reward: 156.25
Episode 282 | Loss: -0.104 | Policy: -0.239 | Value: 0.323 | Reward: 155.26
Episode 283 | Loss: -0.125 | Policy: -0.241 | Value: 0.285 | Reward: 157.38
Episode 284 | Loss: -0.149 | Policy: -0.172 | Value: 0.099 | Reward: 156.38
Episode 285 | Loss: 0.042 | Policy: 0.063 | Value: 0.011 | Reward: 155.51
Episode 286 | Loss: 0.198 | Policy: 0.194 | Value: 0.063 | Reward: 155.75
Episode 287 | Loss: 0.154 | Policy: 0.160 | Value: 0.044 | Reward: 155.01
Episode 288 | Loss: -0.034 | Policy: -0.008 | Value: 0.004 | Reward: 154.38
Episode 289 | Loss: -0.052 | Policy: -0.027 | Value: 0.005 | Reward: 154.26
Episode 290 | Loss: 0.072 | Policy: 0.089 | Value: 0.021 | Reward: 104.76
Episode 291 | Loss: 0.021 | Policy: 0.045 | Value: 0.005 | Reward: 155.38
Episode 292 | Loss: -0.084 | Policy: -0.072 | Value: 0.029 | Reward: 154.51
Episode 293 | Loss: -0.078 | Policy: -0.068 | Value: 0.035 | Reward: 155.63
