H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 215 | Loss: 37.194 | Policy: 0.570 | Value: 73.261 | Entropy: 0.569
Episode 216 | Loss: 13.147 | Policy: 1.861 | Value: 22.582 | Entropy: 0.572
Episode 217 | Loss: 58.684 | Policy: 7.066 | Value: 103.248 | Entropy: 0.565
Episode 218 | Loss: 47.946 | Policy: 3.794 | Value: 88.315 | Entropy: 0.580
Episode 219 | Loss: 28.248 | Policy: 2.220 | Value: 52.066 | Entropy: 0.544
Episode 220 | Loss: 31.021 | Policy: 2.165 | Value: 57.713 | Entropy: 0.005
Episode 221 | Loss: 31.248 | Policy: 1.479 | Value: 59.538 | Entropy: 0.000
Episode 222 | Loss: 27.789 | Policy: 0.726 | Value: 54.127 | Entropy: 0.000
Episode 223 | Loss: 26.052 | Policy: 0.810 | Value: 50.483 | Entropy: 0.000
Episode 224 | Loss: 19.402 | Policy: 1.007 | Value: 36.790 | Entropy: 0.000
Episode 225 | Loss: 22.308 | Policy: 1.258 | Value: 42.100 | Entropy: 0.000
Episode 226 | Loss: 26.875 | Policy: 3.517 | Value: 46.716 | Entropy: 0.000
Episode 227 | Loss: 27.823 | Policy: 3.146 | Value: 49.354 | Entropy: 0.000
Episode 228 | Loss: 40.215 | Policy: 4.622 | Value: 71.186 | Entropy: 0.000
Episode 229 | Loss: 32.788 | Policy: 1.157 | Value: 63.261 | Entropy: 0.000
Episode 230 | Loss: 24.424 | Policy: 1.505 | Value: 45.838 | Entropy: 0.000
Episode 231 | Loss: 43.670 | Policy: 0.178 | Value: 86.984 | Entropy: 0.000
Episode 232 | Loss: 23.243 | Policy: 1.478 | Value: 43.530 | Entropy: 0.000
Episode 233 | Loss: 20.322 | Policy: 1.326 | Value: 37.992 | Entropy: 0.000
Episode 234 | Loss: 19.316 | Policy: 1.295 | Value: 36.041 | Entropy: 0.000
Episode 235 | Loss: 37.143 | Policy: 4.043 | Value: 66.200 | Entropy: 0.000
Episode 236 | Loss: 43.662 | Policy: 5.025 | Value: 77.273 | Entropy: 0.000
Episode 237 | Loss: 23.323 | Policy: 2.649 | Value: 41.348 | Entropy: 0.000
Episode 238 | Loss: 27.484 | Policy: 1.479 | Value: 52.010 | Entropy: 0.000
Episode 239 | Loss: 23.529 | Policy: 1.073 | Value: 44.911 | Entropy: 0.000
Episode 240 | Loss: 22.577 | Policy: 1.114 | Value: 42.927 | Entropy: 0.000
Episode 241 | Loss: 18.857 | Policy: 1.610 | Value: 34.493 | Entropy: 0.000
Episode 242 | Loss: 21.061 | Policy: 1.170 | Value: 39.782 | Entropy: 0.000
Episode 243 | Loss: 22.755 | Policy: 2.306 | Value: 40.898 | Entropy: 0.000
Episode 244 | Loss: 23.252 | Policy: 0.973 | Value: 44.558 | Entropy: 0.000
Episode 245 | Loss: 26.711 | Policy: 2.874 | Value: 47.674 | Entropy: 0.000
Episode 246 | Loss: 26.167 | Policy: 2.822 | Value: 46.690 | Entropy: 0.000
Episode 247 | Loss: 36.982 | Policy: 3.966 | Value: 66.032 | Entropy: 0.000
Episode 248 | Loss: 22.269 | Policy: 1.853 | Value: 40.833 | Entropy: 0.000
Episode 249 | Loss: 24.058 | Policy: 1.110 | Value: 45.896 | Entropy: 0.000
Episode 250 | Loss: 54.525 | Policy: 0.085 | Value: 108.881 | Entropy: 0.000
Episode 251 | Loss: 34.597 | Policy: 0.761 | Value: 67.671 | Entropy: 0.000
Episode 252 | Loss: 32.794 | Policy: 0.378 | Value: 64.833 | Entropy: 0.000
Episode 253 | Loss: 30.485 | Policy: 2.812 | Value: 55.345 | Entropy: 0.000
Episode 254 | Loss: 65.512 | Policy: 7.382 | Value: 116.260 | Entropy: 0.000
Episode 255 | Loss: 52.893 | Policy: 6.506 | Value: 92.773 | Entropy: 0.000
Episode 256 | Loss: 28.995 | Policy: 4.313 | Value: 49.364 | Entropy: 0.000
Episode 257 | Loss: 29.277 | Policy: 2.268 | Value: 54.017 | Entropy: 0.000
Episode 258 | Loss: 37.457 | Policy: 0.418 | Value: 74.079 | Entropy: 0.000
Episode 259 | Loss: 32.123 | Policy: 1.037 | Value: 62.173 | Entropy: 0.000
Episode 260 | Loss: 65.370 | Policy: 0.002 | Value: 130.735 | Entropy: 0.000
Episode 261 | Loss: 28.240 | Policy: 0.395 | Value: 55.691 | Entropy: 0.000
Episode 262 | Loss: 24.020 | Policy: 2.184 | Value: 43.672 | Entropy: 0.000
Episode 263 | Loss: 30.135 | Policy: 3.300 | Value: 53.669 | Entropy: 0.000
Episode 264 | Loss: 65.014 | Policy: 7.076 | Value: 115.874 | Entropy: 0.000
Episode 265 | Loss: 49.576 | Policy: 6.166 | Value: 86.821 | Entropy: 0.000
Episode 266 | Loss: 22.514 | Policy: 1.136 | Value: 42.756 | Entropy: 0.000
Episode 267 | Loss: 30.967 | Policy: 3.119 | Value: 55.695 | Entropy: 0.000
Episode 268 | Loss: 30.701 | Policy: 0.502 | Value: 60.398 | Entropy: 0.000
Episode 269 | Loss: 32.543 | Policy: 0.494 | Value: 64.098 | Entropy: 0.000
Episode 270 | Loss: 33.004 | Policy: 0.496 | Value: 65.015 | Entropy: 0.000
Episode 271 | Loss: 20.791 | Policy: 1.742 | Value: 38.098 | Entropy: 0.000
Episode 272 | Loss: 24.803 | Policy: 2.417 | Value: 44.771 | Entropy: 0.000
Episode 273 | Loss: 23.691 | Policy: 3.115 | Value: 41.153 | Entropy: 0.000
Episode 274 | Loss: 32.863 | Policy: 4.192 | Value: 57.343 | Entropy: 0.000
Episode 275 | Loss: 25.746 | Policy: 2.992 | Value: 45.508 | Entropy: 0.000
Episode 276 | Loss: 28.516 | Policy: 2.792 | Value: 51.448 | Entropy: 0.000
Episode 277 | Loss: 35.119 | Policy: 0.586 | Value: 69.065 | Entropy: 0.000
Episode 278 | Loss: 56.951 | Policy: -0.005 | Value: 113.913 | Entropy: 0.000
Episode 279 | Loss: 21.505 | Policy: 1.211 | Value: 40.589 | Entropy: 0.000
Episode 280 | Loss: 37.090 | Policy: 4.440 | Value: 65.300 | Entropy: 0.000
Episode 281 | Loss: 26.397 | Policy: 2.637 | Value: 47.520 | Entropy: 0.000
Episode 282 | Loss: 28.113 | Policy: 3.655 | Value: 48.917 | Entropy: 0.000
Episode 283 | Loss: 29.628 | Policy: 1.910 | Value: 55.436 | Entropy: 0.000
Episode 284 | Loss: 19.565 | Policy: 0.893 | Value: 37.343 | Entropy: 0.000
Episode 285 | Loss: 23.658 | Policy: 0.920 | Value: 45.478 | Entropy: 0.000
Episode 286 | Loss: 20.539 | Policy: 1.101 | Value: 38.876 | Entropy: 0.000
Episode 287 | Loss: 25.156 | Policy: 1.053 | Value: 48.206 | Entropy: 0.000
