Episode 201 | Loss: 0.487 | Policy: 0.382 | Value: 0.210 | Reward: -50.03
Episode 202 | Loss: 0.167 | Policy: 0.149 | Value: 0.037 | Reward: -40.04
Episode 203 | Loss: -0.025 | Policy: -0.033 | Value: 0.016 | Reward: -40.03
Episode 204 | Loss: -0.028 | Policy: -0.036 | Value: 0.016 | Reward: -40.04
Episode 205 | Loss: 0.391 | Policy: 0.314 | Value: 0.154 | Reward: -50.03
Episode 206 | Loss: 0.739 | Policy: 0.533 | Value: 0.412 | Reward: -60.03
Episode 207 | Loss: 0.068 | Policy: 0.060 | Value: 0.017 | Reward: -50.04
Episode 208 | Loss: 0.067 | Policy: -0.145 | Value: 0.425 | Reward: -40.03
Episode 209 | Loss: -0.104 | Policy: -0.158 | Value: 0.107 | Reward: -60.03
Episode 210 | Loss: 0.339 | Policy: -0.151 | Value: 0.982 | Reward: -30.05
Episode 211 | Loss: -0.055 | Policy: -0.075 | Value: 0.042 | Reward: -50.04
Episode 212 | Loss: 0.081 | Policy: 0.076 | Value: 0.010 | Reward: -40.04
Episode 213 | Loss: 0.652 | Policy: 0.486 | Value: 0.334 | Reward: -50.03
Episode 214 | Loss: 0.600 | Policy: 0.454 | Value: 0.291 | Reward: -50.03
Episode 215 | Loss: 0.022 | Policy: -0.010 | Value: 0.065 | Reward: -30.05
Episode 216 | Loss: 0.626 | Policy: 0.472 | Value: 0.309 | Reward: -60.03
Episode 217 | Loss: -0.009 | Policy: -0.047 | Value: 0.076 | Reward: -40.04
Episode 218 | Loss: -0.015 | Policy: -0.048 | Value: 0.067 | Reward: -40.03
Episode 219 | Loss: 0.019 | Policy: 0.018 | Value: 0.002 | Reward: -40.05
Episode 220 | Loss: 0.006 | Policy: -0.002 | Value: 0.015 | Reward: -30.04
Episode 221 | Loss: 0.829 | Policy: 0.585 | Value: 0.489 | Reward: -50.03
Episode 222 | Loss: 0.568 | Policy: 0.432 | Value: 0.273 | Reward: -40.03
Episode 223 | Loss: 0.326 | Policy: 0.270 | Value: 0.111 | Reward: -40.05
Episode 224 | Loss: 0.457 | Policy: 0.359 | Value: 0.196 | Reward: -60.03
Episode 225 | Loss: 0.092 | Policy: -0.158 | Value: 0.501 | Reward: -40.03
Episode 226 | Loss: 0.068 | Policy: -0.235 | Value: 0.605 | Reward: -50.04
Episode 227 | Loss: -0.091 | Policy: -0.238 | Value: 0.295 | Reward: -60.03
Episode 228 | Loss: -0.010 | Policy: -0.188 | Value: 0.359 | Reward: -50.03
Episode 229 | Loss: -0.061 | Policy: -0.077 | Value: 0.033 | Reward: -50.03
Episode 230 | Loss: 0.221 | Policy: 0.193 | Value: 0.058 | Reward: -40.04
Episode 231 | Loss: 0.621 | Policy: 0.465 | Value: 0.312 | Reward: -40.05
Episode 232 | Loss: 1.087 | Policy: 0.721 | Value: 0.733 | Reward: -50.04
Episode 233 | Loss: 0.783 | Policy: 0.562 | Value: 0.444 | Reward: -50.04
Episode 234 | Loss: 0.019 | Policy: 0.018 | Value: 0.003 | Reward: -40.04
Episode 235 | Loss: -0.018 | Policy: -0.019 | Value: 0.003 | Reward: -50.03
Episode 236 | Loss: -0.026 | Policy: -0.028 | Value: 0.005 | Reward: -50.03
Episode 237 | Loss: 0.159 | Policy: 0.144 | Value: 0.032 | Reward: -50.05
Episode 238 | Loss: 0.477 | Policy: 0.378 | Value: 0.200 | Reward: -60.03
Episode 239 | Loss: -0.033 | Policy: -0.041 | Value: 0.020 | Reward: -50.04
Episode 240 | Loss: -0.031 | Policy: -0.040 | Value: 0.022 | Reward: -50.03
Episode 241 | Loss: -0.002 | Policy: -0.018 | Value: 0.040 | Reward: -40.03
Episode 242 | Loss: 0.589 | Policy: 0.447 | Value: 0.292 | Reward: 29.96
Episode 243 | Loss: 0.220 | Policy: 0.187 | Value: 0.078 | Reward: 59.95
Episode 244 | Loss: 0.180 | Policy: 0.148 | Value: 0.075 | Reward: 49.96
Episode 245 | Loss: 0.094 | Policy: 0.079 | Value: 0.042 | Reward: 49.95
Episode 246 | Loss: 0.240 | Policy: 0.204 | Value: 0.084 | Reward: -60.03
Episode 247 | Loss: -0.019 | Policy: -0.172 | Value: 0.315 | Reward: 29.97
Episode 248 | Loss: 0.256 | Policy: -0.236 | Value: 0.993 | Reward: 39.96
Episode 249 | Loss: 0.697 | Policy: -0.212 | Value: 1.827 | Reward: 69.95
Episode 250 | Loss: -0.099 | Policy: -0.230 | Value: 0.272 | Reward: -50.03
Episode 251 | Loss: 0.005 | Policy: -0.038 | Value: 0.095 | Reward: -50.03
Episode 252 | Loss: 0.393 | Policy: 0.284 | Value: 0.225 | Reward: -50.03
Episode 253 | Loss: 0.536 | Policy: 0.380 | Value: 0.314 | Reward: -50.03
Episode 254 | Loss: 0.125 | Policy: 0.095 | Value: 0.063 | Reward: -40.03
Episode 255 | Loss: 0.031 | Policy: 0.005 | Value: 0.056 | Reward: -50.03
Episode 256 | Loss: -0.077 | Policy: -0.174 | Value: 0.199 | Reward: -50.03
Episode 257 | Loss: -0.007 | Policy: -0.189 | Value: 0.368 | Reward: -50.03
Episode 258 | Loss: -0.006 | Policy: -0.147 | Value: 0.286 | Reward: -50.03
Episode 259 | Loss: -0.018 | Policy: -0.048 | Value: 0.065 | Reward: -50.05
Episode 260 | Loss: 0.283 | Policy: 0.238 | Value: 0.095 | Reward: -50.03
Episode 261 | Loss: 0.562 | Policy: 0.428 | Value: 0.273 | Reward: -50.03
Episode 262 | Loss: 0.519 | Policy: 0.398 | Value: 0.247 | Reward: -50.03
Episode 263 | Loss: 0.704 | Policy: 0.521 | Value: 0.373 | Reward: -60.03
Episode 264 | Loss: 0.051 | Policy: -0.013 | Value: 0.137 | Reward: -50.03
Episode 265 | Loss: 0.072 | Policy: -0.068 | Value: 0.290 | Reward: -50.03
Episode 266 | Loss: 0.055 | Policy: -0.058 | Value: 0.238 | Reward: -50.03
Episode 267 | Loss: 0.049 | Policy: 0.021 | Value: 0.069 | Reward: -50.04
Episode 268 | Loss: 0.331 | Policy: 0.272 | Value: 0.129 | Reward: -50.03
Episode 269 | Loss: 0.555 | Policy: 0.428 | Value: 0.269 | Reward: -50.04
Episode 270 | Loss: 0.472 | Policy: 0.376 | Value: 0.206 | Reward: -50.03
Episode 271 | Loss: 0.150 | Policy: 0.141 | Value: 0.036 | Reward: -50.03
Episode 272 | Loss: -0.070 | Policy: -0.100 | Value: 0.081 | Reward: -50.03
Episode 273 | Loss: -0.099 | Policy: -0.098 | Value: 0.022 | Reward: -60.03
Episode 274 | Loss: 0.036 | Policy: -0.193 | Value: 0.476 | Reward: -40.03
Episode 275 | Loss: -0.062 | Policy: -0.063 | Value: 0.021 | Reward: -50.03
Episode 276 | Loss: 0.324 | Policy: 0.273 | Value: 0.117 | Reward: -50.03
